School_ID,Long_Name,Primary_Category,School_Latitude,School_Longitude,Graduation_4_Year_School_Pct_Year_2,College_Enrollment_School_Pct_Year_2,SAT_Grade_11_Score_School_Avg,Transition_Gap,geometry,GEOID,NAME,poverty_rate,log_median_income,unemployment_rate,single_parent_rate,rent_burden_rate,disadvantage_score
609741,Gurdon S Hubbard High School,HS,41.780526,-87.718014,82.4,65.6,874,16.80000000000001,POINT (-87.718014 41.780526),17031650100,Census Tract 6501; Cook County; Illinois,0.1388821088601415,11.134238597894669,0.0227610094012864,0.0947046843177189,0.6018735362997658,-0.3437204617552696
609746,Kenwood Academy High School,HS,41.803772,-87.590421,90.6,71.9,975,18.69999999999999,POINT (-87.590421 41.803772),17031390700,Census Tract 3907; Cook County; Illinois,0.1774884358403289,11.207812350788767,0.0855548667079975,0.3792517006802721,0.595631067961165,1.05779109124369
609748,Consuella B York Alternative High School,HS,41.842533,-87.695261,2.9,2.9,721,0.0,POINT (-87.695261 41.842533),17031843500,,,,,,,
609749,Northside College Preparatory High School,HS,41.981315,-87.708708,96.4,95.1,"1,303",1.3000000000000114,POINT (-87.708708 41.981315),17031831800,Census Tract 8318; Cook County; Illinois,0.1974730931211979,11.3790511564139,0.0417047184170471,0.3947368421052631,0.3885754583921015,0.3831913919962991
609751,Dr  Martin Luther King  Jr  College Prep HS,HS,41.813675,-87.603874,93.0,73.1,939,19.90000000000001,POINT (-87.603874 41.813675),17031390300,,,,,,,
609753,Chicago High School for Agricultural Sciences,HS,41.691221,-87.71777,86.2,70.8,951,15.400000000000006,POINT (-87.71777 41.691221),17031740400,Census Tract 7404; Cook County; Illinois,0.0569812962157459,11.399196699641886,0.0474452554744525,0.2622950819672131,0.3262955854126679,-0.7369868476173482
609754,Chicago Military Academy High School,HS,41.830555,-87.619216,84.6,50.9,856,33.699999999999996,POINT (-87.619216 41.830555),17031839600,Census Tract 8396; Cook County; Illinois,0.2107164358819988,11.12876186028198,0.1773399014778325,0.1304347826086956,0.5534188034188035,1.046193950108875
609755,Whitney M Young Magnet High School,HS,41.878603,-87.664233,94.8,88.5,"1,297",6.299999999999997,POINT (-87.664233 41.878603),17031833100,Census Tract 8331; Cook County; Illinois,0.0752700144750027,12.0126395839815,0.0159977934078058,0.0352193995381062,0.2419491525423728,-2.3533109310854066
609756,Marie Sklodowska Curie Metropolitan High School,HS,41.80306,-87.722042,76.9,68.5,900,8.400000000000006,POINT (-87.722042 41.80306),17031570400,Census Tract 5704; Cook County; Illinois,0.1529694061187762,11.204700491287118,0.0589473684210526,0.2101010101010101,0.4050279329608938,-0.0725251789354089
609759,Roberto Clemente Community Academy High School,HS,41.902626,-87.686906,75.2,56.3,785,18.90000000000001,POINT (-87.686906 41.902626),17031242400,Census Tract 2424; Cook County; Illinois,0.0889107611548556,11.615436925923303,0.028041237113402,0.1469387755102041,0.263018534863195,-1.417051523405078
